Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 36.28 , 63.66 , 56.99 , 34.90 , 81.16 , 54.90 
2,Tonga, 29.33 , 55.27 , 53.08 , 28.66 , 81.80 , 48.76 
3,Philippines, 26.70 , 52.46 , 50.90 , 31.83 , 80.92 , 39.96 
4,Guatemala, 19.88 , 36.30 , 54.76 , 35.82 , 81.00 , 47.46 
5,Bangladesh, 19.17 , 31.70 , 60.48 , 38.23 , 86.36 , 56.84 
6,Solomon Islands, 19.14 , 29.98 , 63.83 , 44.01 , 85.56 , 61.90 
7,Brunei Darussalam, 17.00 , 41.10 , 41.36 , 17.40 , 63.17 , 43.53 
8,Costa Rica, 17.00 , 42.61 , 39.89 , 21.32 , 63.78 , 34.57 
9,Cambodia, 16.58 , 27.65 , 59.96 , 37.55 , 86.84 , 55.49 
10,Papua New Guinea, 16.43 , 24.94 , 65.90 , 54.81 , 83.94 , 58.95 
11,El Salvador, 16.05 , 32.60 , 49.25 , 27.84 , 74.78 , 45.14 
12,Timor-Leste, 15.69 , 25.73 , 60.98 , 49.93 , 81.39 , 51.61 
13,Mauritius, 15.53 , 37.35 , 41.58 , 18.02 , 61.59 , 45.14 
14,Nicaragua, 14.62 , 27.23 , 53.69 , 33.67 , 80.70 , 46.71 
15,Guinea-Bissau, 13.56 , 19.65 , 68.99 , 52.64 , 89.93 , 64.38 
16,Fiji, 13.15 , 27.71 , 47.47 , 24.18 , 74.69 , 43.55 
17,Japan, 12.99 , 45.91 , 28.29 , 17.82 , 38.04 , 29.00 
18,Viet Nam, 12.53 , 25.35 , 49.43 , 24.95 , 76.67 , 46.67 
19,Gambia, 12.07 , 19.29 , 62.58 , 44.77 , 83.87 , 59.11 
20,Jamaica, 11.83 , 25.82 , 45.81 , 25.43 , 71.30 , 40.70 
21,Haiti, 11.68 , 16.26 , 71.85 , 61.81 , 91.24 , 62.49 
22,Chile, 11.65 , 30.95 , 37.66 , 19.67 , 58.61 , 34.70 
23,Benin, 11.39 , 17.06 , 66.76 , 52.23 , 82.00 , 66.06 
24,Guyana, 11.39 , 22.90 , 49.72 , 27.16 , 78.96 , 43.05 
25,Niger, 11.24 , 15.87 , 70.80 , 57.72 , 86.56 , 68.11 
26,Madagascar, 11.15 , 16.03 , 69.52 , 65.23 , 83.79 , 59.55 
27,Dominican Republic, 10.96 , 23.14 , 47.36 , 27.55 , 73.16 , 41.38 
28,Cameroon, 10.91 , 18.19 , 59.95 , 42.07 , 84.97 , 52.80 
29,Chad, 10.85 , 14.89 , 72.86 , 61.07 , 91.09 , 66.42 
30,Honduras, 10.68 , 20.01 , 53.36 , 33.29 , 81.00 , 45.78 
31,Cape Verde, 10.39 , 20.26 , 51.29 , 31.38 , 70.88 , 51.61 
32,Senegal, 10.38 , 17.57 , 59.08 , 45.87 , 80.15 , 51.23 
33,Togo, 10.36 , 15.56 , 66.62 , 57.36 , 84.42 , 58.08 
34,Djibouti, 10.30 , 16.34 , 63.01 , 37.87 , 83.03 , 68.11 
35,Burundi, 10.28 , 15.13 , 67.98 , 63.23 , 87.71 , 53.01 
36,Indonesia, 10.24 , 19.36 , 52.87 , 30.09 , 79.49 , 49.04 
37,Sierra Leone, 10.21 , 14.65 , 69.69 , 57.06 , 86.46 , 65.55 
38,Zimbabwe, 10.06 , 14.96 , 67.24 , 57.49 , 88.22 , 56.00 
39,Burkina Faso, 9.54 , 14.32 , 66.65 , 53.97 , 83.87 , 62.11 
40,Albania, 9.50 , 21.25 , 44.71 , 19.64 , 73.01 , 41.49 
41,Afghanistan, 9.50 , 13.17 , 72.12 , 56.05 , 92.85 , 67.48 
42,Myanmar, 8.90 , 14.87 , 59.86 , 35.63 , 87.00 , 56.93 
43,Cote d'Ivoire, 8.88 , 13.67 , 64.94 , 47.01 , 85.78 , 62.04 
44,Mozambique, 8.69 , 12.73 , 68.28 , 63.24 , 84.69 , 56.89 
45,Uzbekistan, 8.59 , 16.18 , 53.10 , 29.69 , 77.34 , 52.26 
46,Suriname, 8.44 , 18.12 , 46.60 , 27.54 , 70.44 , 41.83 
47,Ghana, 8.39 , 14.48 , 57.94 , 44.42 , 77.93 , 51.48 
48,Mali, 8.39 , 12.55 , 66.84 , 52.66 , 84.28 , 63.58 
49,Netherlands, 8.24 , 30.57 , 26.94 , 15.46 , 41.23 , 24.14 
50,Guinea, 8.20 , 12.03 , 68.21 , 52.20 , 89.73 , 62.70 
51,Sudan, 7.99 , 11.86 , 67.37 , 51.25 , 92.80 , 58.06 
52,Nigeria, 7.98 , 12.06 , 66.22 , 52.35 , 88.15 , 58.15 
53,Malawi, 7.98 , 12.34 , 64.66 , 55.23 , 84.06 , 54.68 
54,Mauritania, 7.95 , 12.47 , 63.71 , 44.85 , 86.46 , 59.83 
55,Kyrgyzstan, 7.86 , 16.63 , 47.26 , 26.32 , 75.53 , 39.92 
56,Liberia, 7.84 , 10.96 , 71.54 , 62.70 , 85.24 , 66.70 
57,United Republic of Tanzania, 7.65 , 12.01 , 63.70 , 58.51 , 83.79 , 48.79 
58,Ecuador, 7.53 , 16.15 , 46.63 , 27.40 , 73.94 , 38.55 
59,Swaziland, 7.52 , 12.76 , 58.95 , 44.14 , 80.01 , 52.70 
60,Bhutan, 7.51 , 14.81 , 50.70 , 29.43 , 73.77 , 48.90 
61,Trinidad and Tobago, 7.50 , 17.54 , 42.79 , 19.30 , 67.80 , 41.26 
62,Algeria, 7.36 , 15.82 , 46.52 , 24.20 , 77.20 , 38.15 
63,Sri Lanka, 7.32 , 14.79 , 49.52 , 24.15 , 78.08 , 46.32 
64,Comoros, 7.29 , 10.97 , 66.43 , 58.66 , 84.46 , 56.18 
65,Panama, 7.26 , 16.45 , 44.15 , 26.32 , 66.53 , 39.61 
66,Zambia, 7.25 , 11.37 , 63.81 , 61.73 , 79.79 , 49.92 
67,Congo, 7.19 , 11.65 , 61.69 , 50.71 , 86.09 , 48.28 
68,Serbia, 7.12 , 18.05 , 39.46 , 18.78 , 66.51 , 33.08 
69,Rwanda, 7.09 , 11.98 , 59.15 , 52.58 , 79.09 , 45.80 
70,Ethiopia, 7.04 , 11.12 , 63.33 , 53.94 , 79.97 , 56.09 
71,Central African Republic, 7.03 , 9.39 , 74.80 , 64.68 , 90.60 , 69.13 
72,Pakistan, 6.96 , 11.36 , 61.26 , 35.04 , 86.26 , 62.48 
73,Lesotho, 6.84 , 11.40 , 60.05 , 48.21 , 79.72 , 52.22 
74,Kenya, 6.77 , 10.69 , 63.34 , 53.01 , 85.62 , 51.39 
75,Tajikistan, 6.72 , 12.98 , 51.75 , 33.62 , 75.53 , 46.10 
76,Greece, 6.70 , 21.11 , 31.76 , 18.01 , 50.24 , 27.03 
77,India, 6.64 , 11.94 , 55.60 , 35.79 , 80.22 , 50.78 
78,Peru, 6.59 , 14.40 , 45.74 , 27.34 , 73.65 , 36.23 
79,Belize, 6.55 , 13.31 , 49.22 , 27.34 , 73.87 , 46.46 
80,Uganda, 6.52 , 10.16 , 64.21 , 55.68 , 87.99 , 48.96 
81,Angola, 6.52 , 10.18 , 64.08 , 50.66 , 86.87 , 54.71 
82,Morocco, 6.45 , 13.25 , 48.70 , 27.16 , 75.98 , 42.97 
83,Colombia, 6.45 , 13.84 , 46.62 , 26.35 , 74.65 , 38.85 
84,Turkmenistan, 6.44 , 13.19 , 48.82 , 24.76 , 75.61 , 46.11 
85,China, 6.39 , 14.43 , 44.29 , 22.81 , 69.86 , 40.18 
86,Malaysia, 6.39 , 14.60 , 43.76 , 19.02 , 67.52 , 44.73 
87,Eritrea, 6.35 , 8.55 , 74.23 , 60.97 , 89.47 , 72.24 
88,Georgia, 6.27 , 14.69 , 42.67 , 24.60 , 63.13 , 40.28 
89,Thailand, 6.19 , 13.70 , 45.22 , 19.34 , 75.53 , 40.79 
90,Cuba, 6.13 , 17.45 , 35.10 , 17.46 , 55.97 , 31.87 
91,Bosnia and Herzegovina, 6.10 , 14.02 , 43.53 , 18.72 , 70.18 , 41.67 
92,Armenia, 6.07 , 14.51 , 41.85 , 20.38 , 70.99 , 34.19 
93,Gabon, 6.04 , 11.95 , 50.57 , 32.41 , 74.23 , 45.08 
94,Yemen, 5.97 , 9.04 , 66.01 , 44.87 , 91.24 , 61.93 
95,Mexico, 5.97 , 13.84 , 43.10 , 23.36 , 71.69 , 34.27 
96,Venezuela, 5.93 , 13.15 , 45.06 , 22.70 , 75.54 , 36.95 
97,Romania, 5.92 , 15.77 , 37.56 , 19.54 , 59.94 , 33.21 
98,Republic of Macedonia, 5.87 , 14.38 , 40.78 , 20.50 , 64.17 , 37.66 
99,Syrian Arab Republic, 5.69 , 10.56 , 53.85 , 26.49 , 86.12 , 48.94 
100,Lao People's Democratic Republic, 5.59 , 9.55 , 58.51 , 37.41 , 84.37 , 53.76 
101,South Africa, 5.58 , 12.08 , 46.22 , 30.88 , 69.02 , 38.76 
102,Azerbaijan, 5.54 , 13.16 , 42.09 , 19.77 , 70.03 , 36.47 
103,Tunisia, 5.40 , 12.45 , 43.40 , 20.42 , 73.05 , 36.72 
104,Namibia, 5.37 , 10.41 , 51.60 , 46.63 , 69.97 , 38.19 
105,Hungary, 5.32 , 15.61 , 34.10 , 16.39 , 53.95 , 31.97 
106,Turkey, 5.20 , 12.25 , 42.44 , 19.44 , 69.11 , 38.79 
107,Botswana, 5.14 , 10.55 , 48.66 , 35.92 , 67.32 , 42.73 
108,Nepal, 5.12 , 9.16 , 55.91 , 38.05 , 81.05 , 48.64 
109,Lebanon, 5.01 , 11.14 , 44.99 , 23.15 , 70.33 , 41.50 
110,Republic of Moldova, 4.79 , 11.11 , 43.11 , 23.82 , 67.57 , 37.95 
111,Islamic Republic of Iran, 4.73 , 10.19 , 46.45 , 19.32 , 80.66 , 39.37 
112,Ireland, 4.60 , 14.74 , 31.23 , 17.16 , 45.99 , 30.53 
113,Republic of Korea, 4.59 , 14.89 , 30.82 , 14.31 , 46.55 , 31.59 
114,Bolivia, 4.58 , 8.98 , 51.05 , 35.81 , 79.67 , 37.66 
115,Jordan, 4.58 , 10.53 , 43.47 , 21.98 , 67.21 , 41.21 
116,New Zealand, 4.55 , 15.44 , 29.48 , 16.55 , 44.45 , 27.45 
117,Iraq, 4.49 , 8.08 , 55.55 , 29.16 , 89.42 , 48.08 
118,Equatorial Guinea, 4.46 , 8.22 , 54.22 , 33.04 , 84.84 , 44.79 
119,Italy, 4.42 , 13.85 , 31.88 , 17.43 , 54.66 , 23.56 
120,Bulgaria, 4.22 , 11.66 , 36.22 , 20.72 , 56.51 , 31.44 
121,Australia, 4.22 , 15.05 , 28.01 , 15.67 , 42.53 , 25.84 
122,Bahamas, 4.14 , 10.71 , 38.64 , 18.76 , 52.85 , 44.32 
123,Brazil, 4.09 , 9.53 , 42.92 , 23.65 , 67.60 , 37.50 
124,Uruguay, 4.03 , 11.10 , 36.29 , 20.22 , 50.23 , 38.42 
125,Croatia, 3.97 , 11.53 , 34.40 , 18.12 , 54.71 , 30.37 
126,Libyan Arab Jamahiriya, 3.79 , 7.80 , 48.65 , 25.03 , 78.33 , 42.58 
127,United States of America, 3.76 , 12.25 , 30.68 , 16.35 , 48.24 , 27.46 
128,Russia, 3.58 , 9.38 , 38.15 , 21.53 , 59.12 , 33.81 
129,Argentina, 3.56 , 9.55 , 37.29 , 20.67 , 59.00 , 32.20 
130,Kazakhstan, 3.56 , 9.11 , 39.09 , 17.77 , 62.77 , 36.74 
131,United Kingdom, 3.54 , 11.60 , 30.54 , 17.29 , 45.95 , 28.37 
132,Paraguay, 3.48 , 7.03 , 49.53 , 26.09 , 78.07 , 44.42 
133,Portugal, 3.45 , 10.93 , 31.53 , 17.89 , 47.09 , 29.60 
134,Slovenia, 3.41 , 11.59 , 29.38 , 15.25 , 50.34 , 22.53 
135,Austria, 3.39 , 13.60 , 24.93 , 14.83 , 35.86 , 24.10 
136,Slovakia, 3.39 , 10.21 , 33.15 , 14.61 , 53.54 , 31.28 
137,Czech Republic, 3.37 , 10.82 , 31.17 , 15.40 , 48.61 , 29.50 
138,Latvia, 3.31 , 9.26 , 35.80 , 19.85 , 53.30 , 34.27 
139,Kuwait, 3.28 , 9.04 , 36.28 , 11.24 , 62.46 , 35.14 
140,Poland, 3.20 , 9.79 , 32.72 , 16.62 , 52.46 , 29.09 
141,Belarus, 3.11 , 8.46 , 36.74 , 16.76 , 60.43 , 33.02 
142,Mongolia, 3.08 , 6.52 , 47.22 , 32.43 , 64.30 , 44.92 
143,Belgium, 3.07 , 11.66 , 26.28 , 16.25 , 37.57 , 25.04 
144,Spain, 3.05 , 10.23 , 29.79 , 16.71 , 48.75 , 23.92 
145,Canada, 3.01 , 10.25 , 29.42 , 15.20 , 45.95 , 27.10 
146,Ukraine, 2.97 , 7.50 , 39.66 , 18.76 , 62.63 , 37.59 
147,Germany, 2.95 , 11.41 , 25.87 , 15.48 , 36.57 , 25.57 
148,Lithuania, 2.92 , 8.88 , 32.85 , 18.37 , 48.45 , 31.74 
149,Denmark, 2.89 , 10.87 , 26.57 , 15.44 , 39.41 , 24.86 
150,Cyprus, 2.68 , 7.44 , 35.97 , 14.80 , 58.26 , 34.87 
151,Oman, 2.64 , 6.41 , 41.11 , 15.40 , 63.50 , 44.45 
152,France, 2.62 , 9.25 , 28.35 , 17.21 , 43.69 , 24.16 
153,Seychelles, 2.55 , 5.99 , 42.59 , 21.94 , 62.82 , 43.02 
154,Luxembourg, 2.43 , 9.12 , 26.63 , 12.69 , 40.84 , 26.36 
155,Switzerland, 2.37 , 9.56 , 24.79 , 14.51 , 37.60 , 22.28 
156,Estonia, 2.36 , 7.23 , 32.70 , 17.66 , 50.46 , 29.99 
157,Israel, 2.30 , 6.41 , 35.88 , 19.62 , 58.68 , 29.34 
158,Egypt, 2.29 , 4.72 , 48.41 , 21.78 , 76.85 , 46.60 
159,Singapore, 2.27 , 7.82 , 28.99 , 14.24 , 49.44 , 23.28 
160,Finland, 2.21 , 8.19 , 26.98 , 16.35 , 39.11 , 25.48 
161,Norway, 2.19 , 8.58 , 25.55 , 14.21 , 38.48 , 23.96 
162,Sweden, 2.12 , 7.97 , 26.55 , 15.78 , 40.99 , 22.88 
163,United Arab Emirates, 1.97 , 5.93 , 33.19 , 10.03 , 56.08 , 33.45 
164,Kiribati, 1.78 , 3.05 , 58.50 , 42.25 , 83.69 , 49.56 
165,Bahrain, 1.69 , 4.27 , 39.48 , 13.00 , 66.16 , 39.29 
166,Iceland, 1.52 , 5.67 , 26.84 , 14.96 , 42.69 , 22.87 
167,Grenada, 1.42 , 3.13 , 45.39 , 24.54 , 68.82 , 42.82 
168,Barbados, 1.32 , 3.46 , 38.26 , 18.20 , 50.29 , 46.29 
169,Saudi Arabia, 1.14 , 2.93 , 38.96 , 14.80 , 65.01 , 37.07 
170,Malta, 0.60 , 1.65 , 36.25 , 15.97 , 59.33 , 33.44 
171,Qatar, 0.08 , 0.28 , 28.18 , 9.68 , 43.94 , 30.93 
